160CDL480B - Performance Data,,,,,,,,
,,INPUT PARAMETERS,,OUTPUT MEASUREMENTS,,,,
Config,Test Point,Airflow (SCFM),Pressure (PSIG),BHP,RPM,% Max Speed,% Max Pressure,
,132,1060,9,52.3,1797,50,32,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,133,1060,12,65.1,1835,51,42,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,134,1060,15,79,1873,52,52,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,135,1060,18,93.9,1912,53,62,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
,136,1060,20,104.4,1939,54,68,CycloBlower H.E. - 160CDL480 RC2 Medium (FFL)
RC3,137,400,12,42.7,1015,28,35,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,138,400,15,47.7,1029,29,43,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,139,400,18,53.6,1044,29,51,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,140,400,20,57.9,1056,29,57,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,141,460,12,46.2,1097,30,35,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,142,460,15,51.6,1110,31,43,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,143,460,18,57.7,1126,31,51,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,144,460,20,62.3,1138,32,57,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,145,520,12,49.7,1179,33,35,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,146,520,15,55.4,1192,33,43,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,147,520,18,61.9,1207,34,51,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,148,520,20,66.7,1219,34,57,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,149,580,12,53.3,1260,35,35,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,150,580,15,59.3,1273,35,43,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,151,580,18,66.1,1288,36,51,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,152,580,20,71.1,1300,36,57,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,153,640,12,56.9,1342,37,35,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,154,640,15,63.2,1354,38,43,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,155,640,18,70.3,1369,38,51,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,156,640,20,75.5,1381,38,57,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,157,700,12,60.5,1422,40,35,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,158,700,15,67.1,1435,40,43,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,159,700,18,74.6,1450,40,51,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,160,700,20,80,1461,41,57,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,161,760,12,64.1,1503,42,35,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,162,760,15,71.1,1515,42,43,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
,163,760,18,78.8,1530,42,51,CycloBlower H.E. - 160CDL480 RC3 High (FFL)
